turn,total_drivers,min_speed,avg_speed,max_speed
96,61,0,2.8653846153846154,10
97,60,0,2.8846153846153846,10
98,61,0,2.660377358490566,10
99,61,0,2.660377358490566,9
100,62,0,2.6792452830188678,9
101,63,0,3.207547169811321,10
102,62,0,2.9074074074074074,10
103,62,0,2.792452830188679,10
104,63,0,2.8333333333333335,10
105,62,0,2.611111111111111,9
106,63,0,2.8,10
107,63,0,2.740740740740741,9
108,64,0,2.8,10
109,62,0,2.547169811320755,9
110,63,0,2.727272727272727,10
111,62,0,2.388888888888889,10
112,62,0,2.2777777777777777,10
113,63,0,2.240740740740741,10
114,64,0,2.418181818181818,10
115,64,0,2.381818181818182,9
116,65,0,2.491228070175439,10
117,65,0,2.618181818181818,10
118,65,0,2.2982456140350878,10
119,65,0,2.3793103448275863,9
120,66,0,2.3448275862068964,10
121,66,0,2.3728813559322033,10
122,68,0,2.189655172413793,10
123,67,0,2.2241379310344827,10
124,66,0,2.1724137931034484,10
125,68,0,2.2241379310344827,10
126,67,0,2.2542372881355934,10
127,66,0,2.43859649122807,9
128,66,0,2.5762711864406778,9
129,67,0,2.7,10
130,69,0,2.7704918032786887,10
131,68,0,2.45,10
132,69,0,2.6333333333333333,10
133,69,0,2.459016393442623,10
134,69,0,2.3833333333333333,9
135,69,0,2.4262295081967213,10
136,70,0,2.5901639344262297,10
137,70,0,2.5901639344262297,10
138,69,0,2.466666666666667,10
139,69,0,2.4833333333333334,9
140,69,0,2.4745762711864407,8
141,69,0,2.5245901639344264,9
142,71,0,2.370967741935484,10
143,69,0,2.2459016393442623,9
144,71,0,2.3174603174603177,10
145,72,0,2.296875,10
146,73,0,2.4603174603174605,10
147,72,0,2.515625,9
148,72,0,2.25,10
149,74,0,2.1875,10
150,73,0,2.28125,10
151,72,0,2.111111111111111,9
152,72,0,2.0,9
153,72,0,2.0476190476190474,10
154,73,0,2.203125,10
155,72,0,2.2857142857142856,10
156,73,0,2.476923076923077,10
157,72,0,2.3846153846153846,10
158,75,0,2.4923076923076923,10
159,73,0,2.453125,9
160,74,0,2.3230769230769233,10
161,72,0,2.25,10
162,71,0,2.142857142857143,9
163,72,0,1.9538461538461538,10
164,73,0,2.169230769230769,10
165,74,0,2.0307692307692307,10
166,75,0,2.046153846153846,10
167,73,0,1.796875,9
168,73,0,1.71875,9
169,74,0,2.0615384615384613,10
170,75,0,2.272727272727273,10
171,74,0,2.287878787878788,7
172,76,0,2.5223880597014925,7
173,74,0,2.53125,8
174,73,0,2.4,8
175,74,0,2.230769230769231,8
176,74,0,2.3125,9
177,73,0,2.28125,10
178,73,0,2.171875,9
179,73,0,2.203125,10
180,73,0,2.0,9
181,75,0,2.2153846153846155,9
182,74,0,2.1515151515151514,9
183,74,0,2.1384615384615384,8
184,74,0,2.3230769230769233,9
185,74,0,2.123076923076923,8
186,75,0,2.0454545454545454,9
187,76,0,2.090909090909091,8
188,75,0,2.227272727272727,9
189,74,0,2.196969696969697,10
190,73,0,2.1384615384615384,8
191,73,0,2.0615384615384613,7
192,74,0,2.123076923076923,8
193,75,0,2.230769230769231,9
194,75,0,2.2238805970149254,9
195,76,0,2.257575757575758,9
196,75,0,2.298507462686567,9
197,76,0,2.4242424242424243,9
198,75,0,2.0597014925373136,8
199,77,0,2.1641791044776117,9
200,75,0,2.029850746268657,10
201,77,0,2.283582089552239,8
202,76,0,2.176470588235294,9
203,77,0,2.1194029850746268,9
204,77,0,2.072463768115942,8
205,77,0,1.8529411764705883,8
206,77,0,2.072463768115942,9
207,78,0,1.8529411764705883,9
208,78,0,2.2028985507246377,10
209,77,0,2.3088235294117645,10
210,76,0,2.08955223880597,9
211,76,0,1.9411764705882353,10
212,77,0,1.9852941176470589,10
213,76,0,1.9090909090909092,7
214,76,0,1.9253731343283582,8
215,76,0,2.029850746268657,9
216,76,0,2.1029411764705883,10
217,76,0,1.8208955223880596,8
218,77,0,2.014925373134328,9
219,76,0,2.2205882352941178,8
220,77,0,2.1940298507462686,9
221,77,0,2.3970588235294117,10
222,76,0,2.074626865671642,8
223,75,0,2.1343283582089554,8
224,76,0,2.029850746268657,7
225,77,0,1.8955223880597014,8
226,76,0,1.9402985074626866,8
227,77,0,2.235294117647059,9
228,75,0,2.0,9
229,76,0,2.3134328358208953,10
230,76,0,2.2205882352941178,9
231,78,0,2.338235294117647,10
232,77,0,2.176470588235294,8
233,77,0,2.0,9
234,77,0,2.2318840579710146,8
235,78,0,2.3714285714285714,9
236,80,0,2.2816901408450705,10
237,78,0,1.8309859154929577,9
238,80,0,1.8873239436619718,7
239,80,0,1.971830985915493,7
240,80,0,2.0,8
